Date,Product,Units Sold,Unit Price,Total Revenue
2023-05-25,Product B,1,28.43,28.43
2023-09-04,Product A,17,16.83,286.11
2023-05-30,Product C,4,43.84,175.36
2023-10-05,Product B,5,11.91,59.55
2023-12-20,Product A,16,20.43,326.88
2023-05-09,Product C,8,18.55,148.4
2023-09-13,Product D,17,26.73,454.41
2023-07-22,Product C,9,39.87,358.83
2023-02-26,Product B,15,42.96,644.4
2023-10-02,Product D,13,13.9,180.7
2023-06-13,Product B,14,29.63,414.82
2023-10-31,Product A,1,47.01,47.01
2023-07-19,Product B,10,41.86,418.6
2023-05-04,Product A,9,19.6,176.4
2023-01-20,Product C,3,27.4,82.2
2023-02-20,Product B,16,27.57,441.12
2023-02-18,Product A,3,20.0,60.0
2023-04-01,Product C,20,24.1,482.0
2023-05-11,Product D,17,19.07,324.19
2023-05-19,Product A,1,40.02,40.02
2023-03-18,Product A,9,17.83,160.47
2023-09-01,Product D,4,29.14,116.56
2023-02-03,Product B,2,28.45,56.9
2023-09-18,Product A,3,42.34,127.02
2023-06-13,Product A,12,38.88,466.56
2023-09-06,Product A,18,32.94,592.92
2023-11-05,Product D,2,43.18,86.36
2023-02-27,Product B,7,22.58,158.06
2023-10-27,Product D,3,31.44,94.32
2023-09-22,Product A,14,33.67,471.38
2023-01-10,Product B,19,20.79,395.01
2023-08-17,Product C,20,14.94,298.8
2023-06-14,Product D,16,49.12,785.92
2023-10-22,Product C,14,34.27,479.78
2023-11-18,Product C,16,34.5,552.0
2023-12-13,Product C,8,47.07,376.56
2023-06-22,Product A,1,30.11,30.11
2023-03-05,Product C,9,34.42,309.78
2023-04-09,Product A,7,12.65,88.55
2023-09-04,Product D,6,35.1,210.6
2023-09-08,Product B,5,23.15,115.75
2023-03-27,Product A,18,22.59,406.62
2023-11-20,Product A,17,16.03,272.51
2023-05-20,Product D,10,38.25,382.5
2023-11-02,Product A,13,22.33,290.29
2023-01-31,Product C,12,41.59,499.08
2023-07-17,Product D,9,25.47,229.23
2023-06-10,Product D,15,13.32,199.8
2023-12-25,Product B,17,41.89,712.13
2023-12-05,Product B,2,36.53,73.06
2023-11-06,Product D,13,21.31,277.03
2023-05-04,Product B,19,15.95,303.05
2023-08-23,Product A,14,46.36,649.04
2023-04-17,Product D,11,14.48,159.28
2023-11-06,Product D,20,11.16,223.2
2023-11-17,Product A,2,29.76,59.52
2023-04-04,Product A,15,33.46,501.9
2023-09-01,Product B,15,13.84,207.6
2023-03-09,Product D,5,34.67,173.35
2023-07-30,Product D,9,34.52,310.68
2023-04-14,Product C,8,44.77,358.16
2023-01-22,Product B,6,21.63,129.78
2023-10-03,Product C,10,15.56,155.6
2023-08-30,Product B,6,24.38,146.28
2023-04-10,Product D,12,46.28,555.36
2023-03-20,Product B,9,15.1,135.9
2023-04-07,Product D,20,16.99,339.8
2023-12-09,Product D,1,14.25,14.25
2023-05-16,Product A,20,16.32,326.4
2023-07-08,Product D,11,19.0,209.0
2023-01-21,Product B,13,37.8,491.4
2023-03-12,Product C,20,10.04,200.8
2023-03-13,Product D,18,17.35,312.3
2023-12-25,Product D,11,46.64,513.04
2023-01-01,Product B,7,20.51,143.57
2023-09-22,Product D,1,47.89,47.89
2023-03-19,Product C,18,14.93,268.74
2023-10-22,Product B,10,25.06,250.6
2023-08-18,Product C,15,44.17,662.55
2023-09-05,Product D,5,30.87,154.35
2023-08-18,Product D,5,27.08,135.4
2023-12-27,Product B,1,43.31,43.31
2023-10-12,Product C,5,47.73,238.65
2023-08-26,Product C,15,39.98,599.7
2023-01-09,Product B,7,28.8,201.6
2023-03-12,Product D,6,29.91,179.46
2023-11-25,Product A,1,21.27,21.27
2023-01-29,Product A,9,21.7,195.3
2023-03-29,Product A,9,42.95,386.55
2023-01-06,Product A,16,20.93,334.88
2023-06-02,Product A,2,33.85,67.7
2023-11-24,Product D,18,20.69,372.42
2023-08-09,Product C,18,44.2,795.6
2023-12-19,Product A,19,10.43,198.17
2023-10-14,Product A,11,44.48,489.28
2023-06-11,Product D,14,31.78,444.92
2023-05-15,Product D,16,13.14,210.24
2023-08-25,Product C,3,36.83,110.49
2023-02-03,Product B,11,39.99,439.89
2023-06-17,Product B,13,39.06,507.78
